substanceId,description
archive_record_h_r,"소장용으로 정리된 기록 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_record_h_o,"소장용으로 정리된 기록 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 구덩이 앞에서 기록은 끊기고, 남은 것은 수습 대상뿐이다."
archive_record_r_h,"소장용으로 정리된 기록 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_record_r_o,"소장용으로 정리된 기록 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_record_o_h,"소장용으로 정리된 기록 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_record_o_r,"소장용으로 정리된 기록 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_camera_h,"소장용으로 정리된 카메라 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 끝에는 짧지만 살아 돌아왔다는 확인이 남아 있다."
archive_camera_r,"소장용으로 정리된 카메라 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_camera_o,"소장용으로 정리된 카메라 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_camera_h_r,"소장용으로 정리된 카메라 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_camera_h_o,"소장용으로 정리된 카메라 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_camera_r_h,"소장용으로 정리된 카메라 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_camera_r_o,"소장용으로 정리된 카메라 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_camera_o_h,"소장용으로 정리된 카메라 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_camera_o_r,"소장용으로 정리된 카메라 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 카메라는 형태를 남기지만, 초점이 흔들리는 지점마다 엔티티의 위치가 달라 보인다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_ultra_h,"소장용으로 정리된 초음파 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_ultra_r,"소장용으로 정리된 초음파 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_ultra_o,"소장용으로 정리된 초음파 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 회수는 성공했으나, 깊이 값은 마지막까지 확정되지 않았다."
archive_ultra_h_r,"소장용으로 정리된 초음파 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_ultra_h_o,"소장용으로 정리된 초음파 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_ultra_r_h,"소장용으로 정리된 초음파 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_ultra_r_o,"소장용으로 정리된 초음파 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_ultra_o_h,"소장용으로 정리된 초음파 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_ultra_o_r,"소장용으로 정리된 초음파 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 초음파 수치는 거리와 빈 공간을 드러내지만, 보이지 않는 접근에는 여전히 둔하다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_flash_h,"소장용으로 정리된 손전등 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_flash_r,"소장용으로 정리된 손전등 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_flash_o,"소장용으로 정리된 손전등 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_flash_h_r,"소장용으로 정리된 손전등 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_flash_h_o,"소장용으로 정리된 손전등 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 구덩이 앞에서 기록은 끊기고, 남은 것은 수습 대상뿐이다."
archive_flash_r_h,"소장용으로 정리된 손전등 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_flash_r_o,"소장용으로 정리된 손전등 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_flash_o_h,"소장용으로 정리된 손전등 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_flash_o_r,"소장용으로 정리된 손전등 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 손전등은 어둠을 밀어내지만, 빛이 닿은 자리만 더 낯설게 보이게 한다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_recorder_h,"소장용으로 정리된 녹음기 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_recorder_r,"소장용으로 정리된 녹음기 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_recorder_o,"소장용으로 정리된 녹음기 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_recorder_h_r,"소장용으로 정리된 녹음기 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_recorder_h_o,"소장용으로 정리된 녹음기 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 구덩이 앞에서 기록은 끊기고, 남은 것은 수습 대상뿐이다."
archive_recorder_r_h,"소장용으로 정리된 녹음기 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_recorder_r_o,"소장용으로 정리된 녹음기 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_recorder_o_h,"소장용으로 정리된 녹음기 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_recorder_o_r,"소장용으로 정리된 녹음기 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 녹음기는 발소리와 환풍음 사이에 섞인 낮은 울림을 또렷하게 남긴다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_cam_ultra_h,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 끝에는 짧지만 살아 돌아왔다는 확인이 남아 있다."
archive_cam_ultra_r,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_cam_ultra_o,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 회수는 성공했으나, 깊이 값은 마지막까지 확정되지 않았다."
archive_cam_ultra_h_r,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_cam_ultra_h_o,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_cam_ultra_r_h,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_cam_ultra_r_o,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_cam_ultra_o_h,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_cam_ultra_o_r,"소장용으로 정리된 카메라와 초음파 센서 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 영상과 초음파 값이 맞물려 공간의 굴절과 깊이가 조금 더 분명해진다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_cam_flash_h,"소장용으로 정리된 카메라와 손전등 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 끝에는 짧지만 살아 돌아왔다는 확인이 남아 있다."
archive_cam_flash_r,"소장용으로 정리된 카메라와 손전등 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_cam_flash_o,"소장용으로 정리된 카메라와 손전등 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_cam_flash_h_r,"소장용으로 정리된 카메라와 손전등 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_cam_flash_h_o,"소장용으로 정리된 카메라와 손전등 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_cam_flash_r_h,"소장용으로 정리된 카메라와 손전등 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_cam_flash_r_o,"소장용으로 정리된 카메라와 손전등 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_cam_flash_o_h,"소장용으로 정리된 카메라와 손전등 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_cam_flash_o_r,"소장용으로 정리된 카메라와 손전등 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 빛과 사진이 겹치며 흔들림은 줄었지만, 화면 가장자리의 그림자는 사라지지 않는다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_cam_rec_h,"소장용으로 정리된 카메라와 녹음기 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 끝에는 짧지만 살아 돌아왔다는 확인이 남아 있다."
